a'dād	numbers; pl of adad
donbāleravi	follow
donbālero	follower
donbāle dāštan	trail
donyavi	worldly; mundane; secular
donyā	world; universe; macrocosm; vale
donyādide	worldly wise
dopahlu	equivocal; ambiguous; two-sided; amphibole
doping	doping
dopā	bipedal; biped; two-legged
doqesmati	bipartite; twofold
doqolu	twin; geminate; twain
doqotbi	bipolar; dipole
dorage	hoarse; mongrel; rough
dorage kardan	cross
dorang	two color; bicolor; dichromatic
dorage	cross
dorost	right; correct; true; sound; sock; correctly; just; accurate; genuine;  correct;  true;  just;  accurate;  orthodox; valid
dorost budan	being right
dorost kardan	fix; make; right; devise; trim; adapt; integrate; straighten; agree; build; compose; make up; organize; weave
dorost kardan (kon)	make; build; cook
dorost kardan mu-ye sar	dress
dorost neveštan	spell
dorost raftār kardan	behave
dorosti	integrity; accuracy; truth;  truth;  correctness;  integrity;  validity;  precision; correctness; validity; precision
dorostkār	honest; right; righteous; upright
dorostkāri	honesty; rectitude
dorostnevisi	spelling; orthography
dorostohesābi	proper; properly
doroške	phaeton; gharry; cab
dorošt	coarse; large; gross; macro-; jumbo; lump; sturdy
dorošti	coarseness; acerbity; amplitude
doroštxu	rude
doru	two face; insincere; disingenuous; duplex; hypocritical
dorud	greeting; salute; hail
dorud goftan	greet
doruq	lie; false; pseud-; pseudo-; falsehood; untruth; fiction; fable
doruq goftan	lie; gab; fib; prevaricate; belie; weasel
doruq-e razilāne	outrageous lie
doruqbāfi	invention
doruqgu	liar; false
doruqi	factitious; sham; factitive; quack
doruqin	false
doruqpardāzi	lying
doruqparākani	the lies
doruqsanj	lie detector; pathometer
doruqguyi	lying; mendacity; prevarication
dorus	courses
doruyi	hypocrisy; duplicity; dissimulation
doruze	two days
dorāhe	two-way; crossing
dorāhi	dilemma; crotch
dosad	two hundred
dosar	double-header; double; double entendre
dosare	mutual
dosathi	dihedral
dosevvom	two-thirds
dosu	double-sided
dosuye	bilinear
dosāle	two-year; two-year-old
dotabaqe	two floors; doubled-decked; double-deck; two stories
dotaraf	both sides
dotarafe	two way; bilateral; mutual; reciprocal
dotaxte	twin-bedded
dotā	double; geminate
dotāyi	duplex; double; binary; dualism; dual; dyadic; bigeminal
doval	governments
dovvom	second; secondary; t'other; other
dovvomin	second
dovvomšaxs	second person
dow	run; running
dow-e esteqāmat	distance event
Dow-e Mārāton	marathon
dowlat	government; state; mammon
Dowlat-e Federāl	federal government
dowlati	governmental; national
dowlatmard	statesman
dowlatšahr	polis
dowr	circle; cycle; orbit; circuit; wheel; around
dowr zadan	round; circle
dowr zadan (zan)	turn round
dowr(-e)	around; cycle; circle
dowr-e bātel	vicious circle
dowr-e ciz-i gaštan	circuit; encircle
dowr-e kamar	waist
dowre	period; course; era; term; cycle; circuit; spell; age; set; stretch
dowre kardan	review; surround
dowre-ye kārāmuzi	training
dowre-ye motevassete	intermediate
dowre-ye rāhnamāyi	intermediate
dowre-ye sarbāzi	military service period
dowre-ye āmuzeši	course
dowre-ye āzmāyeši	trial period; probation
dowregard	itinerant; badger
dowreham jam' budan (hast, bāš)	being together
dowrei	periodic; periodical; peripheral
dowre-ye rexvat	slump
dowre-ye tahsilāt	curriculum
dowregard	itinerant; badger; huckster
dowrobar	around; environment; environs
dowrtādowr	all round; about
dowrān	era; season; period
dowrān-e kudaki	childhood; early life; infancy
dowrān-e neqāhat	convalescence
doxatte	two-lane
doxt	daughter
doxtar	girl; daughter; gal
doxtar'amme	cousin
doxtar'amu	cousin
doxtar-e barādar	niece
doxtar-e bākere	maiden
doxtar-e dabestāni	school girl
doxtar-e kuculu	little girl
doxtar-e madresei	school girl
doxtar-e xāhar	niece
doxtaramme	cousin
doxtaramu	cousin
doxtarbacce	girl
doxtardāyi	cousin
doxtari	girlhood
doxtarmadresei	school girl
doxtarxāle	cousin
doxtarxānde	adopted daughter; stepdaughter
doxtarxānom	miss; young lady
doxtarāne	girly; girlie
doxtoduz	sewing
doxul	entry; inclusion; arrival
doxābe	two bedroom
doxāniyāt	tobacco
doyensiyati	androgynous
dozabāne	bilingual
dozd	thief; robber; stealer
dozd-e daryāyi	pirate
dozdaki raftan	sneak
dozdgir	alarm system
dozdi	theft; stealing; robbery; burglary; thievery; lift
dozdi az forušgāh	shop lifting; shrinkage
dozdi kardan	steal; rob; thieve
dozdidan	steal; rob; abduct; embezzle; despoil; rifle; pick; filch
dozdidan (dozd)	steal; rob; thieve
dozdide	stolen
dozdgir	burglar alarm
dozānu	kneeling
dozānu nešastan	sit on knees
doā	prayer; devotion; orison; vote
doā kardan	pray; bless
doāgu	praying
došak	mattress
došanbe	Monday
došman	enemy; hostile; adversary; hostility
došmani	enmity; hatred; animosity; mis-; hate; ill will; repulsion; foe
došmanāne	inimical
došnām	curse; abusiveness; abusive; insult; abusing
došnām dādan	mistreat; beshrew; misname; curse; abuse; insult
došnāmguyi	profanity
došvār	difficult; hard; tough
došvāri	difficulty; hardness; node
došāxe	plugs; tuning fork; plug; crotch; crutch; diapason; pitchfork; fork
došāxe-ye kelid-e ettesāl	plug
dogm	dogma
dogme	press
dogmātik	dogmatically
dogāne	twofold; twosome
dogānegi	dichotomy
dubl	double
duble	synchronized; dubbed
duble kardan	synchronize; dub
dubleks	duplex
dublor	dubbing actor
dud	smoke; fume; whiff
dud dādan	smoke; fume; fumigate
dud kardan	smoke
dud-e qaliz	smoke
dud-e sigār	cigarette smoke
dude	grime; soot; black
dudi	smoked; smoky; fire-cured
dudkeš	chimney; stack; flue
dudmān	dynasty; lineage; ancestry; progeny; pedigree; genealogy
dudālud	smoky
duk	duke; spindle
dukišekl	fusiform
dun	vile; poor; lowly; scullion
dunpāye	low-ranking; underling; understrapper
duq	dough
dur	far way; away; around; distant; remote; aloof; nowhere near; yonder
dur andāxtan	throw away; discard; scrap
dur az	away from; away; far; out; past; back
dur az ensāf	unfair; unfairly
dur az vatan	far away from home
dur kardan	remove; distance; banish; dispossess; estrange; abduct
dur šodan	recede
durandiš	forethoughtful; forehanded
durandiši	foresight; forethought
durandāxtani	disposable
durbin	camera; long-sighted
durbin-e akkāsi	camera
durbin-e filmbardāri	film camera; cine camera; movie camera
durbin-e filmbardāri-ye videoyi	video camera
durbin-e nojumi	telescope
durbin-e televiziyon	television camera
durbinemaxfi	hidden camera
durbord	long-range; long-distance; long-way
durdast	distant; remote; far; far-off; out-of-the-way
durgu	telephone
duri	separation; distance; remoteness; periodic; serial
duri kardan	avoid; elude
durnamā	outlook; landscape; prospect;  landscape;  prospect;  vista;  look-out; vision
durnegār	fax
durnegari	vision
durnegār	fax; telegraph
duroftāde	remote; outlying; faraway; distant
durrixtani	waste
durtarin	farthest; utmost; ultimate; farthermost; furthermost; endmost
durtarin noqte	farthest; extreme
durxiz	run-up
durādur	afar; from a distance
dust	friend; boyfriend; fellow
dust dāštan	love; like; smack; savor; affect; savour
dust dāštan (dār)	like; love
dust nadāštan	dislike
dust šodan	make friends
dustdār	loving; lover; goer
dustdāštani	lovely; lovable; likable; smacker
dustedoxtar	girlfriend
dustepesar	boyfriend
dusti	friendship; fellowship; fraternity
dustnadāštani	lovely; loveable; likeable
dustyābi	finding friend
dustāne	friendly; amicable; fraternal; hobnob
duxt	sewing; cut
duxtan	sew; suture; sew up
duxtan (duz)	sew
duzande	seamstress; sempstress
duzandegi	sewing
duzandegi	sewing
duzax	hell; inferno; pandemonium
duzaxi	infernal; hellish; damned
duš	shower; shoulder; shower bath; douche
duš gereftan	shower; douche
duš-e ābesard	cold shower
dušidan	milk; squeeze
dušidan (duš)	milk
dušize	damsel; maiden; miss; girl; demoiselle; gill
dušizegi	virginity; maidenhood
dād	justice; shout; squeal; outcry; ruction; vociferation
dād kešidan	roar
dād zadan	shout; bawl; cry; hoot; outcry; roar
dādan	give; grant; admit; impute; concede; render; afford; pay
dādan (deh)	give; grant; admit; pay
dādan-e dast	handshake
dāde	data; datum; given
dādeparākani	broadcast
dādegān	data set
dādgar	just
dādgostari	justice
dādgāh	court; tribunal
dādgāh-e enqelāb	revolutionary court
dādgāh-e estināf	appeals court
dādgāh-e tajdidenazar	appeals court
dādobidād	yelling; rampage; uproar; scrimmage; hubbub; squabble; riot; noise
dādobidād kardan	rampage; make noise
dādofaryād	shouting
dādoqāl	shouting
dādosetad	trading; trade; business; bargain; intercourse; chaffer; exchange; commerce
dādosetad kardan	transact; vend; trade
dādosetad-e farhangi	cultural exchange
dādresi	judge
dādsarā	court
dādsetān	attorney general; prosecuting attorney
dādsetānekoll	attorney general
dādsetāni	prosecutor; attorney; prosecution
dādxāh	complainant
dādxāhi	lawsuit; pleading; complaint
dādxāst	petition; suit; plea;  suit;  plea; complaint; application
dādāš	brother
dādgar	just
dādgari	justice
dādgostar	justice
dādgostari	justice
dādgāh	court; courtroom; courthouse; forum; bar; witness box
dāem	permanent; constant
dāeman	constantly
dāemi	continual; eternal; ceaseless
dāemolxamr	alcoholic; topper; bowler
dāemān	permanently; constantly
dāer	established
dāeratolmaāref	encyclopedia; cyclopedia; cyclopaedia
dāi	motive
dāiye	claims
dāl bar	indicative; symbolic
dālān	corridor; porch; hall
dām	trap; snare; net; pitfall; decoy; grin; hook; cattle
dāmafkani	grin
dāman	skirt; lappet
dāman zadan	provoke
dāman-e kutāh	mini-skirt
dāmane	domain; amplitude; foot
dāmanedār	adverse
dāmanšalvāri	pant skirt; culottes
dāmangir	swiped
dāmdār	farmer; rancher; ranchero
dāmdāri	livestock
dāmdāri kardan	ranch
dāmi	livestock; bestial
dāmparvar	poulterer; rancher
dāmparvari	animal husbandry; livestock
dāmpezešk	vet; farrier; veterinarian
dāmpezeški	veterinary
dāmād	groom; son-in-law
dāmādi	wedding
dāmān	lap
dāne	seed; grain; kernel; granulation; bean; bait; berry
dāne-i	each; apiece
dāne-ye berenj	rice grain
dāne-ye jow	barleycorn
dānestan	know; learn; wit; knew; have; con; account
dānestan (dān)	know
dānestani	cognizable
dāneste	considered; studied; aware
dānei šodan	berry
dāneš	knowledge; science; wisdom
dānešanduzi	knowledge accumulation
dānešgāh	university
dānešgāh-e dowlati	state university
dānešgāh-e mokātebei	distance university; open university
dānešju	student; collegian
dānešju-ye dowre-ye lisāns	undergraduate
dānešju-ye sāl-e avval-e dāneškade	freshman; frosh
dāneškade	college; faculty
dānešmand	scientist; scholar; savant
dānešmandi	scientist
dānešmandāne	scholarly; erudite
dānešnāme	encyclopedia; diploma
dānešpažuh	researcher; scholar
dānešsarā	daneshsara; normal school; training college
dānešvar	scholar; master
dānešyuyi	student
dānešyār	associate professor; associate; lecturer
dānešyāri	associate
dānešāmuxte	graduated; postgraduate
dānešāmuz	student; grader; pupil
dānešāmuzi	student
dānešgāh	university; college; academy
dānešgāhi	collegiate
dānlod	download
dānmārk	Denmark
dānmārki	Danish
dānā	wise; knowing; sage; astute; learned
dānāyi	wisdom; knowledge; sagacity
dāng	tone
dāngi	tone
dāq	hot; sultry; scorching; brand; stigma; mark; scorcher; stain; stamp
dāqdide	bereaved
dāqi	heated; stew; torridity
dāqān	shatter
dāqān kardan	shatter; batter
dār	arrow; gallows; scaffold
dār zadan	hang; execute
dārande	holder; owner; haver
dārandegi	ownership
dārbast	scaffolding; scaffold; trellis
dārcin	cinnamon
dārcini	cinnamon
dārkub	woodpecker
dārodaste	gang
dāru	medicine; drug; medication; pharmaceutical; pharmaceutic; remedy; cure
dāru xorāndan	drug
dāru-ye mosakken	sedative; painkiller
dāru-ye nezāfat	depilatory
dāru-ye xābāvar	sleeping pill
dāru-ye zeddekerm	vermicide
dāru-ye zeddesorfe	antitussive
dāru-ye ārāmbaxš	sedative
dārudarmāni	medications
dārugari	pharmaceutics
dāruqe	sheriff
dārusāz	pharmacist; apothecary; chemist
dārusāzi	pharmacy
dāruxāne	pharmacy; drugstore; policlinic
dāruyi	pharmaceutical; medicinal; pharmaceutic
dārā	dara; wealthy; fraught; endowment; possessor
dārā budan	have; contain; possess; own; enjoy; encompass; owe
dārā-ye aqide-ye dorost	orthodox
dārā-ye haqq-e emtiyāz	patent
dārā-ye haqq-e enhesāri	patent
dārā-ye joz'iyāt	elaborate
dārā-ye nobuq-e fekri	mastermind
dārā-ye salāmat-e aql	sane
dārā-ye sarrešte	competent
dārā-ye āhang	music; musical; sonant
dārā-ye šarāyet-e lāzem	qualified
dārā-ye šaxsiyat-e hoquqi	corporate
dārā-ye šoql-e āzād	self-employed; freelancer
dārābi	shaddock; grapefruit
dārāyi	property; asset; wealth; finance; possession
dās	sickle; scythe
dāstān	story; tale; fiction; narrative; fable
dāstān-e far'i	episode; underplot
dāstān-e kutāh	short story
dāstān-e manzum	lay
dāstān-e āšeqāne	romance; low e story
dāstāni	story; storied
dāstānnevis	story writer; skald; novelist
dāstānnevisi	writing stories
dāstānsarā	storyteller; raconteur
dāstānsarāyi	narrative; narration
dāvar	referee; arbitrator; arbiter; juror
dāvari	judgment; arbitration; umpire
dāvari kardan	judge; arbitrage; referee
dāvtalab	volunteer; candidate; applicant
dāvtalabi	bidding; candidacy; candidature
dāvtalabāne	voluntary
dāxel	inside; intrant; in
dāxel kardan	incorporate; insert; ingratiate; insinuate; interpolate; intromit
dāxel šodan	enter
dāxel(-e)	inside
dāxel-e hotel	inside the hotel
dāxeli	internal; interior; inner; inward; indoor
dāye	nurse; wet nurse; nursemaid
dāyer	open;  functioning;  operational;  live;  active;  operative; functioning; operational; live; active; operative
dāyer budan	operate; run
dāyer kardan	establish; inaugurate; start
dāyeratolmaāref	encyclopedia; lexicon
dāyere	circle; sphere; department
dāyerei	circular; gyrate
dāyereišekl	circular
dāyerezangi	tambourine
dāyi	uncle
dāyv	springboard
dāšbord	dashboard; glow e box
dāštan	have; possess; own; bear; relieve
dāštan (dār)	have; possess; own
dāšte	have
e	genitive conjunction; adjective connector
e'dām	execution; hanging; gallows
e'dām kardan	execute; hang
e'dāmi	death
e'dāmšode	executed
e'jāb	admiration
e'jābangiz	amazing
e'jābāvar	ajabavr
e'lām	declaration; promulgation; warning; annunciation
e'lām kardan	announce; promulgate; declare
e'lāmiye	declaration; statement; proclamation; communique; manifesto; assertion; announcement
E'lāmiye-ye Hoquq-e Bašar	proclamation of human right
e'lāmšode	announced
e'lān	announcement; declaration; advertising; notice; sign; assertion; poster; proclamation; advertisement
e'lān kardan 	proclaim; announce; advertise
e'lān-e divāri	poster
e'lān-e jang	declaration of war
e'mālšode	applied
e'tebār	credibility; credit; validity; reliability; reputation; validation; trust
e'tebār (e'tebārāt)	reputation; credit; credibility
e'tebār dāštan	being credible
e'tebārdehande	truster
e'tebāri	credit
e'tebārnāme	letter of credit
e'tebārāt	pl of e'tebār
e'tedāl	moderation; temperance; sobriety; mean
e'tedāli	equinox
e'telā	promotion
e'telāf	coalition; integration; pool; union; association; trust; alliance
e'telāfi	federal; fraternal
e'temād	confidence; trust; faith; trustful; reliance; belief; credence
e'temād kardan	trust; rely
e'temādbenafs	self confidence; aplomb; self-confidence
e'temādsāzi	confidence
e'temādāfarin	confidence
e'tenā	heed
e'teqād	belief; faith; opinion; confidence; trust; credence
e'teqād dāštan	believe
e'teqādi	believe
e'terāf	admission; avowal; profession
